air_conditioning,alarm,area_gross,area_land,area_net,central_heating,condition,construction_year,county,description,energy,fireplace,garage,local,location,others,parking,pool,price,storage,title,toilets,type
True,False,"523,21",253,"523,21",True,Em construção,,Lisboa,"Moradia T4 com jardim e garagem, em Arroios, Lisboa.   A fábrica de moagem e torrefação de café Continental, do início do séc. XX, ganha nova vida convertendo-se numa moderna moradia, junto ao Largo da Graça.  Um projeto que integra e mantém os elementos originais da fábrica e onde se destaca a enorme chaminé em alvenaria de tijolo.  No exterior, a planta de café marca os espaços verdes fazendo o contraponto com o traço industrial do imóvel, numa harmonização entre história e modernidade.   A moradia desenvolve-se em torno do jardim (72 m2), com 523 m2 de área de construção, inserida num terreno de 253 m2, onde sobressaem as amplas áreas de circulação, apresentando a seguinte configuração:  No piso inferior encontramos a zona de spa com uma piscina interior, um jacuzzi, um banho turco e duche de massagem, uma casa de banho, uma casa de banho, uma lavandaria e uma área técnica.  O piso térreo dispõe de uma sala de estar com duas zonas diferenciadas e virada para o jardim, uma sala de jantar e cozinha com acessos ao jardim, um quarto ou escritório, uma casa de banho social.  No primeiro piso encontra-se uma suíte com duplo pé-direito, uma suíte com sala e mezzanine, um quarto com sala e mezzanine e uma casa de banho completa.  A moradia dispõe de garagem.  Características:  - Jardim  - Piscina interior - Jacuzzi - Banho turco - Duche com massagem - Garagem para um carro - Lavandaria - Suite e quarto com mezzanine - Painéis em betão pré-moldado - Pavimento em madeira de sucupira - Pedra lioz nas casas de banho - Aquecimento e aspiração central - Ar condicionado  Nesta zona poderá desfrutar de palácios e palacetes (Palacete da Estefânia, Palácio Sotto Mayor) da Igreja dos Anjos, escolas (Escola Secundária de Camões, antigo Liceu Camões e Universidade Autónoma de Lisboa) do Hospital de Santo António dos Capuchos, do Cinema Império e do Chafariz Neptuno no Largo de Dona Estefânia, assim como usufruir de diversos restaurantes e comércio tradicional.  Graças à sua centralidade, dispõe de uma vasta rede de transportes (metro e autocarros Carris) que permitem o acesso facilitado a outras zonas da cidade de Lisboa, fazendo deste imóvel um excelente investimento para arrendamento de longa duração, assim como habitação própria com uma vida confortável no centro da cidade.   -PROP-024201",A,False,True,,Arroios,,False,True,2950000,False,"Moradia T4 com jardim e garagem, em Lisboa",4 ou mais,T4
False,False,450,571,382,False,Usado,,Belém,"Moradia com 7 quartos, 450 metros quadrados de área bruta de construção, inserida num lote de terreno com 571 metros quadrados. Com garagem para 2 viaturas.  Pavimento em soalho de madeira Parquet nos quartos, e sala. Cozinha renovada a menos de 5 anos. O imóvel encontra-se localizado no alto do Restelo. A área de implantação por piso é de 150 metros quadrados. A moradia é composta por Piso Térreo, R/C e 1º andar.  Características: Piso Térreo: Garagem, um quarto normal, zona de arrumos, um quarto em suíte, zona de secagem e lavagem de roupa; Piso 0: Três salas, uma de jantar, uma de estar e outra de leitura , um escritório, um WC de apoio, cozinha, bem como, o acesso para o jardim; Piso 1: Neste piso existem 5 quartos, um dos quais a Master Suíte, e varandas, um WC completo;  A exposição solar é Nascente-Poente-Sul.   Belém é uma freguesia pertencente à zona ocidental da capital, com 10.43 Km de área e 16.525 habitantes. Hoje Belém contém vários espaços verdejantes, museus, parques e jardins, possuindo um atraente ambiente ribeirinho com cafés, restaurantes, centro de negócios, supermercados e uma rede de transportes públicos eficiente. Venha conhecer a sua futura casa. E o bairro mais 'cool' do momento.  Para mais informações, entre em contato connosco.  Categoria Energética: C",C,True,True,,Rua Rodrigo Rebelo,,False,False,1799000,False,Moradia no Restelo com 7 Quartos e Lote de Terreno de 571...,4 ou mais,T7
True,False,"238,50",270,"238,50",False,Usado,2021,Lisboa,"Moradia T4+1 geminada, situada numa zona calma e residencial de Benfica.  Inserida numa zona residencial de moradias, próximo do Mercado de Benfica, supermercados, comércio tradicional, restaurantes, escolas, infantários, equipamentos desportivos e parques verdes, como a mata de Benfica e Monsanto. Com acessos à CRIL, 2ª circular, A1, A2, A5 e A8, e bem servida de transportes públicos, com a estação de comboios de Benfica a poucos minutos e vários autocarros para o centro de Lisboa.   Esta moradia com 238 m2, inserida num lote de terreno de 270 m2, é composta por três pisos, distribuídos da seguinte forma, no piso térreo dispõe de hall de entrada (10 m2) com roupeiros, escritório (9 m2), casa de banho (3 m2), sala comum (35 m2) com lareira, com portas para o terraço e jardim, cozinha (13 m2) aberta para sala e lavandaria (5 m2) com porta para o terraço e telheiro. No primeiro piso, temos a suíte principal (21 m2) com walk-in closet (6 m2) e casa de banho (5m2) com duche, hall dos quartos (5 m2), dois quartos (14 m2 cada), com roupeiros e casa de banho (5 m2) com banheira de apoio aos quartos .  No piso inferior encontramos uma sala multiusos (35 m2).  No exterior possui um telheiro para uma viatura e jardim de 140 m2.  Características:   - Orientação solar Nascente / Sul / Poente - Cozinha equipada com forno elétrico, micro-ondas, placa de indução, exaustor de recirculação (encastrado), frigorífico, arca frigorifica e máquina de lavar louça - Lavandaria equipada com máquina de lavar roupa, máquina de secar roupa e termoacumulador - Ar-condicionado - Lareira com recuperador de calor - Janelas em PVC oscilo-batentes com vidros duplos - Estores elétricos  - Porta blindada - Vídeo porteiro - Portões elétricos - Painéis solares - Pré-instalação de sistema CCTV - Pré-instalação de sistema de alarme - Rega automática  Benfica é uma freguesia portuguesa do concelho de Lisboa, engloba cerca de dois terços do grande pulmão da capital portuguesa, o Parque Florestal de Monsanto.  Benfica começou por ser uma aldeia de camponeses da região saloia. No século XV foi promovida a sede de julgado do Termo de Lisboa, sendo-lhe concedidos dois juízes privativos. Foi também nessa altura que se fixaram três importantes Irmandades: Nossa Senhora do Amparo, Santo António e São Sebastião.  Com a extinção do Termo de Lisboa em 1852, o território de Benfica é primeiro integrado no novo concelho de Belém e, mais tarde, em 1886, é dividido. A parte exterior à nova Estrada da Circunvalação de Lisboa é integrada em Oeiras (e actualmente na Amadora) e a parte interior é integrada em Lisboa, dando origem à actual freguesia.  A cidade continuou a crescer, o que se reflectiu na crescente urbanização da freguesia. Da década de 1950 até à década de 1990 do século XX, a população triplicou de 17 843 habitantes para cerca de 50 000 habitantes.  Em 1959 o território divide-se novamente e dá origem à freguesia de São Domingos de Benfica.  Mais recentemente, a par da crescente edificação assiste-se ao decréscimo da população residente, não só pelo envelhecimento mas também pela migração dos habitantes mais jovens para a periferia.   -PROP-024660",A,True,,,Benfica,,False,False,1350000,False,"Moradia T4+1 com jardim em Benfica, Lisboa",3,T4
False,False,99,99,60,False,Novo,,Lisboa,"Moradia T1 com terraço de 39 m2 no coração de Lisboa, em condomínio fechado com piscina, ginásio, garagem , arrecadação e vídeo vigilância 24 horas.   Excelentes linhas modernas, espaços exteriores privados e comuns, característica muito valorizada pelo projetista.  Equipada com sofisticados e nobres materiais, confortáveis e acabamentos de excelência.  Envolta pelos mais importantes polos culturais e áreas de lazer circundadas pela extensa mancha verde do jardim, este é o seu lugar e o lugar de gerações passadas, em que Lisboa não poderia ser tão central.   Viver em luxo na cidade, perto dos acessos importantes, com amplas zonas verdes e de lazer, aeroporto, metro, universidades, bancos, hospitais. Estaremos disponíveis para todo o apoio, desde ao financiamento bancário até a entrega da chave da sua nova casa.  Financiamento Bancário: A Habita é parceira de várias entidades financeiras possibilitando a todos os seus clientes simulações gratuitas de Crédito à Habitação.  Localização: Alvalade é uma freguesia portuguesa do concelho de Lisboa, pertencente à Zona Centro da capital. A designação de Alvalade parece ter origem na designação árabe 'Al Balade', que significa lugar habitado e murado. Aqui se travou, cerca de 1321, a batalha de Alvalade entre D. Dinis e seu filho, o futuro D. Afonso IV.  A paróquia homónima de Alvalade tem por orago Santa Joana Princesa, mas, após o alargamento de 2012, a freguesia inclui ainda no seu território as paróquias de São João de Brito (orago da antiga freguesia do mesmo nome) e dos Santos Reis (orago do Campo Grande).  Lazer e Cultura: O comércio desempenha um importante papel para a população que vive na freguesia e que a visita, contribuindo não só para garantir a sua sustentabilidade, mas também para promover momentos de lazer.  Localizam-se em Alvalade duas zonas estruturantes para o comércio de Lisboa: a Avenida da Igreja e a Avenida de Roma, artérias que se destacam pela diversidade da sua oferta, mantendo, ao mesmo tempo, o seu cariz essencialmente tradicional.  A dinamização e revitalização destes espaços contribui para o aumento do movimento de rua e, consequentemente, da segurança destas zonas, influenciando não só a vida económica, mas também social e cultural da freguesia.  Também os dois mercados municipais existentes no território – o Mercado de Alvalade e o Mercado Jardim – desempenham um papel fundamental no tecido económico da freguesia.  A freguesia de Alvalade dispõe de uma vasta oferta de equipamentos culturais e de lazer:  - Palácio Galvão Mexia/Palácio Pimenta - Atualmente o Museu da Cidade, é um exemplar de palácio que serviu para residência, um dos melhores exemplos da arquitetura nos arredores de Lisboa. - Museu Rafael Bordalo Pinheiro - Mostra uma exposição de pintura, cerâmica, desenho, documentos e publicações dedicada a Rafael Bordalo Pinheiro. - Chafariz de Entrecampos - Este Chafariz é um dos vinte e dois chafarizes existentes em Lisboa ligados à rede de fornecimento de água do Aqueduto das Águas Livres. - Memorial da Guerra Peninsular - O monumento foi edificado para homenagear o papel importante e heróico do povo português nesta guerra, entre os anos de 1807 e 1814. - Biblioteca Nacional - Biblioteca Municipal dos Coruchéus - Biblioteca Manoel Chaves Caminha - Cinema City Alvalade - Parque José Gomes Ferreira - Jardim do Campo Grande - Jardim e Parque Hortícola Aquilino Ribeiro Machado - Ciclovias: Alameda da Universidade, Avenida do Brasil, Avenida Frei Miguel Contreiras, Campo Grande e Rua Infante Dom Pedro.  Educação: Alvalade é particularmente bem-dotada ao nível da rede escolar, nos diversos graus de ensino. Tem significativa oferta de Ensino Pré́-Escolar Público, com quatro Jardins de Infância, e ainda sede de diversas IPSS e outras estruturas com valências nesta área.  A freguesia conta ainda com seis escolas do 1º Ciclo, duas EB23, e duas escolas de Ensino Secundário, que são também sede de Agrupamentos de Escolas, todas da rede pública.  Na Freguesia tem também sede várias instituições do Ensino Superior, destacando-se neste âmbito a Universidade de Lisboa, e várias das suas maiores unidades.  Categoria Energética: A",A,False,True,,Alvalade,,False,False,485000,True,Oportunidade Moradia T1 com terraço no centro de Lisboa e...,1,T1
False,False,105,,90,False,,1942,Campolide,"Localizada no emblemático bairro da Calçada dos Mestres, em Campolide, esta moradia com orientação solar Nascente / Sul / Poente, está rodeada de uma magnífica vista para o Parque Florestal de Monsanto.  No coração de Lisboa e com uma vasta extensão de terreno para construção de jardim e piscina, a qualidade de vida aqui é excelente.   Mesmo ao lado do histórico Aqueduto das Águas Livres, aqui terá tudo o que necessita a menos de cinco minutos de distância: - Amoreiras Shopping Center - Liceu Francês Charles Lepierre - Acesso à A5   - Estação de Campolide - Zona comercial de Campolide - Parque Florestal de Monsanto  Marque já uma visita, venha ver a sua próxima casa!",Isento,False,,,Rua 7 - Bairro Calçada dos Mestres,,True,False,769000,True,Moradia T3 | Terreno de 252m2 | Possibilidade de construção de piscina,1,T3
False,False,250,320,208,False,Usado,1998,Belém,"Moradia usada com 7 assoalhadas, com garagem e jardim, lote com 320m2, construida num topo sul. Situada no bairro do Restelo, perto da zona comercial, e próximo da Torre de Belém. Pintada recentemente, pronta a utilizar, apenas necessita instalar cozinha. Particular Apenas quero vender não estou interessado em permutas. Used house with 7 rooms, with garage and garden, plot with 320m2, south oriented. Located in the Restelo district, close to the Belém Tower. Recently painted, ready to use, just need to install a kitchen.",D,True,True,,Rua Nuno Tristão,,True,False,2300000,True,"Moradia RESTELO, T7, virada a Sul, perto da zona comercial",4 ou mais,T7
True,False,"177,50",265,153,False,,2017,Lisboa,"Ótima oportunidade de adquirir moradia com características magnificas,  , projeto premiado, áreas interiores e exteriores fabulosas, acabamentos e materiais de qualidade. Inserida em malha urbana consolidada, zona de moradias muito tranquila e central. Moradia pronta a habitar. Sala, cozinha, hall de entrada, wc social, hall, deque, jardim e estacionamento Master suite com casa de banho, closet e varanda, hall, dois quartos, varanda e casa de banho Terraço e área técnica/arrumos. Moradia equipada com ar condicionado, painéis solares, recuperador de calor, sistema de segurança, entre outros, preparada para instalação de elevador. Ao dispor para esclarecimentos adicionais, obrigado.   Great opportunity to purchase a magnificent house,  , award-winning project, fabulous interior and exterior areas, quality finishes and materials. Very quiet and central area. Ready to move in. Ground floor: Living room, kitchen, entrance hall, wc, hall, deck, garden and car parking 1 ° floor: Master suite with bathroom, closet and balcony, hall, two bedrooms, balcony and bathroom 2nd floor: Terrace and technical/storage area. Equipped with air conditioning, solar panels, fireplace, security system, among others, prepared for elevator installation. At your disposal for further clarification, thank you.",A,True,,,Olivais,,True,False,910000,False,Moradia T3 para venda,3,T3
True,False,270,,233,False,Renovado,1951,Lisboa,"Loft industrial | Características únicas | Espaço exterior | Alcântara | Lisboa Loft industrial (antiga fábrica de metalurgia) transformado em habitação e zona de trabalho para venda, situado em Alcântara, Lisboa. Imóvel com características únicas, com 270 m2 de área bruta privativa e espaço exterior. Piso zero com chão de carvalho, em chevron, aquecimento radiante no chão em todo o primeiro piso incluindo casa de banho, painéis solares, bomba de calor, sistema inteligente de control de temperatura remoto, tomada no exterior para ligação de carro elétrico e com licença de habitação. Com uma excelente localização, este loft fica situado numa das mais visitadas freguesias da cidade de Lisboa, próximo do Jardim Avelar Brotero, do Geomonumento do Rio Seco e a poucos minutos da Doca de Santo Amaro. Paragem de autocarro e elétrico a 1 minuto e estação de comboio a 10 minutos. De fácil acesso a diversos pontos turísticos da cidade de lisboa, bem como a todo o tipo de comércio e serviços. Aguardamos o seu contacto. **** Industrial loft | Unique Features | Outer space | Alcântara | Lisbon Industrial loft (former metallurgy factory) transformed into housing and work area for sale, located in Alcântara, Lisbon. Property with unique characteristics, with 270 m2 of private gross area and outdoor space. Ground floor with oak flooring, chevron, underfloor heating on the entire first floor including bathroom, solar panels, heat pump, intelligent remote temperature control system, outdoor socket for electric and licensed car connection of housing. With an excellent location, this loft is located in one of the most visited parishes in the city of Lisbon, close to Jardim Avelar Brotero, Rio Seco Geomonumento and a few minutes from Santo Amaro Dock. Bus and tram stop 1 minute and train station 10 minutes. With easy access to several tourist attractions in the city of lisbon, as well as all kinds of commerce and services. We await your contact.",A,False,,,Alcântara,,False,False,1200000,False,Moradia T3 para venda - Lisboa,2,T3
False,False,"112,11",57,"112,11",False,,1951,Lumiar,"Moradia com 3 assoalhadas, 2 pisos + sótão com 112.11m2 no total. Cada piso para remodelar ou reconstruir, no antigo Lumiar | Lisboa. Localizada numa zona em renovação, junto ao Museu Nacional do Traje e Museu Nacional do Teatro. Em zona de prestigio, próxima de comércio e serviços. Transportes públicos à porta.   Composta por:   R/C: Loja comercial mais Wc 1º Andar: Sala, cozinha e quarto Sótão: Hall, Wc com cabine de duche com hidromassagem e janela, quarto com varanda.   Acabamentos e Equipamentos:   Vidros duplos e estores novos na sala.   Para mais informações e/ou visita, contacte-me! _   2 bedroom house with 2 floors plus attic with 112.11 m2 in total. Each floor to remodel or rebuild, in the old Lumiar | Lisboa. Located in an area under renovation, next to the National Costume Museum and National Museum of the Theater. It is located in a prestigious area, close to shops, services and public transports at one step.   Composed by:   Groundfloor: Commercial store, 1 WC 1st Floor: Living room, kitchen and 1 bedroom. Attic: Hall, 1 bathroom with shower cabin with hydromassage and window, 1 bedroom with balcony.   Finishes and Equipment:   Double glazing and new blinds in the living room.   For more information and / or visit, contact me! -   Maison de 3 pièces, 2 étages + grenier avec 112.11m2 au total. Chaque étage à remodeler ou à reconstruire, dans l'ancien Lumiar | Lisbonne. Situé dans une zone en cours de rénovation, à côté du Musée national du costume et du Musée national du théâtre. Dans un quartier prestigieux, à proximité des commerces et des services. Transports publics à la porte.   Composé de :   REZ-DE-CHAUSSÉE : Boutique commerciale plus Wc 1er étage : Salon, cuisine et chambre à coucher Grenier : Hall, Wc avec cabine de douche avec hydromassage et fenêtre, chambre à coucher avec balcon.   Finitions et équipements :   Double vitrage et nouveaux stores dans le salon.   Pour plus d'informations et/ou une visite, contactez-moi !",F,False,,,Rua do Lumiar,,False,False,270000,False,Moradia T2 + loja comercial *Lumiar*,2,T2
False,False,790,"2519,88",700,False,Usado,,Lisboa,"Excelente propriedade no Restelo composta por duas moradias e uma grande área verde que lhe confere privacidade e sossego. O total de área construída é de 790m2 e inserem-se num lote com uma área total de 2519m2.  A propriedade tem certidão para ser dividida em dois lotes: Lote 1- terreno com 1500m2 e moradia de 660m2. Lote 2 - terreno com 1019m2 e moradia de 130m2 com possibilidade de aumentar 570m2.  A moradia principal foi uma das primeiras a ser construída no Restelo e situa-se na sua zona nobre, próximo do rio. Extremamente bem dividida encontramos no primeiro piso (térreo) toda a zona social com diversos ambientes e ligações com o jardim assim como a zona de serviços. No segundo piso temos duas alas de quartos, ambas com casas de banho e também um apoio de copa e roupas. Tem ainda neste piso uma biblioteca em mezzanine que confere um duplo pé direito à sala principal. Para além do aquecimento central tem também duas lareiras. A distribuição do espaço permite uma adaptação a diferentes vivências, mantendo a privacidade. O anexo recuperado recentemente funciona como uma pequena moradia que conta com 2 quartos, sala, cozinha, casa de banho e lavandaria, e jardim com total privacidade. A propriedade tem garagem para 2 carros, coberto para outros 3 carros e mais 2 lugares ao ar livre.  Categoria Energética: D",D,False,,,Belém,,False,False,5450000,False,Duas moradias com jardim de 2519m2,,T8
