,listingID,sold,longitude,latitude,Price,district,county,parish,Title,Description,Ano,lift,parking,others,floor,type,toilets,private_area,area_gross,total_area,net_area,EVcharging
0,120511052-2361,False,-9.20724296569824,38.7010040283203,4000000.0,Lisboa,Lisboa,Belém,"Moradia T6 à venda em Belém, Lisboa | RE/MAX","Esta moradia, de 3 pisos, para reabilita&ccedil;&atilde;o total, est&aacute; inserida num lote de terreno de&nbsp;1250 m2 e localiza-se no Restelo num",1988,Sim,3+ Lug.,Moradia;Varanda;Arrecadação;Terraço;Perto de Autoestrada;Perto de Igreja;Perto de Transportes Públicos;Lareira;Montanhas;Jardim;Residencial;Urbano;Por Remodelar;Perto de Escola(s);Perto de Jardim;Perto de Hospital;Este,--,6,8,789,540,1 249,789,
1,122181402-85,False,-9.1204129251565,38.7239732748195,320000.0,Lisboa,Lisboa,Penha de França,"Moradia T2 à venda em Penha de França, Lisboa | RE/MAX","CONFORTO E PRIVACIDADE NO CENTRO DE LISBOA
Localizado no Bairro Lopes junto &agrave; Av. Afonso III e ao Alto de S. Jo&atilde;o, apresentamos-lhe a su",1937,Não,Não,Quintal;Urbano;Este;Usado Remodelado,--,2,2,79,--,--,66,
2,124071144-55,False,-9.13197231292725,38.7163047790527,135000.0,Lisboa,Lisboa,São Vicente,"Moradia T4 à venda em São Vicente, Lisboa | RE/MAX","=INVESTIMENTO=
Moradia arrendada com contrato sem termo.
&nbsp;
Pequena moradia geminada, situada no Bairro da Gra&ccedil;a | Lisboa.
Atualmente com c",1937,Não,Não,Moradia;Perto de Transportes Públicos;Estrada Pavimentada;Acesso para cargas e descargas;Perto de Lojas;Residencial;Local sossegado;Urbano;Localização;Infra-Estruturas;Trânsito de Acesso Fácil;Perto de Jardim;Povoação,--,4,1,37,--,45,37,
3,125461048-575,False,-9.16537475585938,38.7606468200684,1800000.0,Lisboa,Lisboa,Lumiar,"Moradia T5 de luxo à venda em Lumiar, Lisboa | RE/MAX Collection","Moradia de 9 assoalhadas - 5 quartos (2 em suite) - Piscina - Jardim - Terra&ccedil;o - Spa - Gin&aacute;sio - Room Cinema
Moradia extraordinariamente",2022,Não,2 Lug.,Moradia;Piscina;Infra-Estruturas;Aquecimento;Perto de Transportes Públicos;Gás;Urbano;Construção Nova;Jardim;Este;Terraço;Ar Condicionado;Cozinha Equipada;Arrecadação;Sistema de Segurança;Privada,--,5,5,320,600,240,320,
4,120611851-35,False,-9.20846939086914,38.747314453125,1350000.0,Lisboa,Lisboa,Benfica,"Moradia T4 à venda em Benfica, Lisboa | RE/MAX","Moradia T4, com lugar de estacionamento, p&aacute;tio,&nbsp;jardim.
&nbsp;
Este im&oacute;vel est&aacute; vedado, &eacute; geminado e localiza-se no B",2019,Não,1 Lug.,Moradia;Varanda;Lareira;Sul;Cozinha Equipada;Jardim;Ar Condicionado;Este;Aquecimento,--,4,3,239,--,270,215,
5,124071215-31,False,-9.11368179321289,38.7677040100098,1250000.0,Lisboa,Lisboa,Olivais,"Moradia T7 de luxo à venda em Olivais, Lisboa | RE/MAX Collection","Fant&aacute;stica moradia geminada, com 8 assoalhadas, nos Olivais | Lisboa.
Conta ainda com jardim, piscina, e garagem box.
&nbsp;
Localiza&ccedil;&a",2007,Não,1 Lug.,Lareira;Piscina;Arrecadação;Cozinha Equipada;Infra-Estruturas;Água;Ar Condicionado;Centro da Cidade;Despensa;Hall de Entrada;Madeira;Perto de Autoestrada;Perto de Escola(s);Perto de Hospital;Perto de Parque;Perto de Jardim;Residencial;Suite;Perto de Transportes Públicos;Varanda;Jardim;Aquecimento;Estrada Pavimentada;Urbano;Aquecimento Solar;Casa Moderna;Cozinha;Electricidade;Localização;Moradia;Perto de Igreja;Perto de Ginásio;Perto de Lojas;Perto do Aeroporto;Piscina exterior;Saneamento Básico;Trânsito de Acesso Fácil;Vizinhança,--,7,4,249,--,--,216,
6,120561247-599,False,-9.14290809631348,38.755069732666,2800000.0,Lisboa,Lisboa,Alvalade,"Moradia T6 à venda em Alvalade, Lisboa | RE/MAX","Glamorosa Moradia situada na Avenida Almirante Gago Coutinho em Lisboa, para Renova&ccedil;&atilde;o.
Localizada a menos 5 minutos do Aeroporto Humber",1951,Não,2 Lug.,Lareira;Quintal;Jardim;Urbano;Casa com Quartos no Sótão;Centro da Cidade;Electricidade;Local Movimentado;Moradia;Perto do Aeroporto;Por Remodelar;Saneamento Básico;Trânsito de Acesso Fácil;Vista Aberta;Varanda;Terraço;Arrecadação;Água;Casa Multi-andar;Construção Antiga;Gás;Localização;Perto de Escola(s);Perto de Jardim;Residencial;Não Mobilado;Perto de Transportes Públicos;Vistas Exteriores,--,6,3,401,--,1 000,342,
7,124151132-67,False,-9.18629169464111,38.7575531005859,480000.0,Lisboa,Lisboa,Carnide,"Moradia T2 à venda em Carnide, Lisboa | RE/MAX","Fant&aacute;stica Moradia T2 - Carnide, Lisboa&nbsp;
Moradia com cerca de 120m2 de &aacute;rea &uacute;til, localizada no Centro Hist&oacute;rico de C",1951,Não,Não,Moradia;Estrada Pavimentada,--,2,1,40,40,--,120,
8,122181168-377,False,-9.11602973937988,38.7703590393066,579000.0,Lisboa,Lisboa,Olivais,"Moradia T4 à venda em Olivais, Lisboa | RE/MAX","Moradia geminada localizada no Bairro da Encarna&ccedil;&atilde;o.
Inserida num lote com 245m2 esta moradia &eacute; composta por 2 pisos.
No R/CH tem",1949,Não,1 Lug.,Moradia;Estrada Pavimentada,--,4,2,104,--,245,100,
9,120991391-469,False,-9.20919895172119,38.7497482299805,1390000.0,Lisboa,Lisboa,Benfica,"Moradia T5 à venda em Benfica, Lisboa | RE/MAX","Fant&aacute;stica Oportunidade - Moradia T5&nbsp;
Bairro de Santa Cruz - Benfica, Lisboa&nbsp;
Excelente oportunidade para morar numa das zonas nobres",1985,Não,3+ Lug.,Moradia;Varanda;Jardim;Urbano,--,5,2,169,--,342,120,
